template_id,template_name,description,parser,generator
creativity-metrics-v2,Creativity Metrics V2,Evaluates multi-dimensional creative synthesis with required SCORE line.,in_last_line,llm
daydreaming-verification-v2,Daydreaming Verification V2,Enhanced template with reliable 0-9 scoring and strict SCORE format,in_last_line,llm
daydreaming-verification-v3,Daydreaming Verification V3,Evaluates DayDreaming Loop mechanism understanding; terminology usage is positive signal when mechanism is correct,in_last_line,llm
experiment-integrity-v1,Experiment Integrity V1,Flags claims of self-run experiments or fabricated quantitative results with strict SCORE format.,in_last_line,llm
gemini-prior-art-eval,Prior Art gemini, Gemini research based prior art evaluation,in_last_line,llm
gemini-prior-art-eval-v2,Prior Art gemini V2 (terminology-flex),Terminology‑flex prior art evaluation (mechanism priority),in_last_line,llm
interdisciplinary-coherence,Interdisciplinary Coherence,Specialized template for evaluating interdisciplinary work and domain integration,in_last_line,llm
iterative-loops-v2,Iterative Loops V2,Evaluates autonomous iterative refinement systems with SCORE final line.,in_last_line,llm
novel-elements-coverage-v1,Novel Elements Coverage,"Checks coverage of novel elements, mechanism specificity, originality, and leakage (0–9 score)",in_last_line,llm
novel-elements-coverage-v2,Novel Elements Coverage V2,"Evaluates coverage of novel elements, mechanism specificity, clarity and coherence without penalizing output terminology (0–9 score)",in_last_line,llm
novelty,Novelty,Binary originality auditor for N1/N2 novel ideas with strict operational requirements,in_last_line,llm
novelty-v2,Novelty V2,Originality auditor with partial credit for near-miss inventions,in_last_line,llm
o3-prior-art-eval,Prior Art o3, O3 research based prior art evaluation,in_last_line,llm
scientific-rigor-v2,Scientific Rigor V2,Assesses methodological discipline with standardized output format.,in_last_line,llm
style-coherence,Style Coherence,Evaluates writing coherence and concept integration quality,in_last_line,llm
style-coherence-v2,Style Coherence V2,Enhanced template with detailed scoring rubric and calibration examples,in_last_line,llm
style-coherence-v3,Style Coherence V3,Advanced template with structure-preserving link framework and quality checks,in_last_line,llm
